Study-obejct,Files,Methods,Files,Methods,LevenDistance
10,74,main.txt-10,06,nor.txt,78,
10,74,main.txt-10,42,main.txt,53,
10,74,main.txt-10,51,main.txt,39,
10,61,main.txt-10,45,main.txt,69,
10,61,main.txt-10,09,main.txt,51,
10,61,main.txt-10,72,main.txt,44,
10,61,main.txt-10,60,culculate.txt,71,
10,61,main.txt-10,11,score_breakup.txt,83,
10,61,main.txt-10,60,output.txt,87,
10,61,main.txt-10,76,main.txt,42,
10,61,main.txt-10,79,main.txt,52,
10,61,main.txt-10,85,main.txt,56,
10,61,main.txt-10,06,main.txt,49,
10,61,main.txt-10,32,main.txt,52,
10,61,main.txt-10,45,_get_result.txt,67,
10,61,main.txt-10,06,sup.txt,90,
10,61,main.txt-10,97,main.txt,51,
10,61,main.txt-10,19,main.txt,53,
10,61,main.txt-10,89,main.txt,43,
10,61,main.txt-10,36,main.txt,52,
10,61,main.txt-10,80,main.txt,55,
10,61,main.txt-10,84,main.txt,44,
10,61,main.txt-10,18,main.txt,51,
10,61,main.txt-10,93,main.txt,48,
10,61,main.txt-10,20,main.txt,47,
10,61,main.txt-10,28,main.txt,47,
10,61,main.txt-10,57,main.txt,46,
10,61,main.txt-10,61,initarreglos.txt,82,
10,61,main.txt-10,06,nor.txt,88,
10,61,main.txt-10,42,main.txt,54,
10,61,main.txt-10,51,main.txt,48,
10,61,main.txt-10,74,main.txt,54,
10,34,calcnum.txt-10,45,main.txt,66,
10,34,calcnum.txt-10,09,main.txt,71,
10,34,calcnum.txt-10,72,main.txt,52,
10,34,calcnum.txt-10,60,culculate.txt,44,
10,34,calcnum.txt-10,11,score_breakup.txt,64,
10,34,calcnum.txt-10,60,output.txt,83,
10,34,calcnum.txt-10,76,main.txt,55,
10,34,calcnum.txt-10,79,main.txt,54,
10,34,calcnum.txt-10,85,main.txt,73,
10,34,calcnum.txt-10,06,main.txt,56,
10,34,calcnum.txt-10,32,main.txt,57,
10,34,calcnum.txt-10,45,_get_result.txt,46,
10,34,calcnum.txt-10,06,sup.txt,79,
10,34,calcnum.txt-10,97,main.txt,59,
10,34,calcnum.txt-10,19,main.txt,52,
10,34,calcnum.txt-10,89,main.txt,53,
10,34,calcnum.txt-10,36,main.txt,59,
10,34,calcnum.txt-10,80,main.txt,58,
10,34,calcnum.txt-10,84,main.txt,58,
10,34,calcnum.txt-10,18,main.txt,60,
10,34,calcnum.txt-10,93,main.txt,62,
10,34,calcnum.txt-10,20,main.txt,62,
10,34,calcnum.txt-10,28,main.txt,57,
10,34,calcnum.txt-10,57,main.txt,60,
10,34,calcnum.txt-10,61,initarreglos.txt,68,
10,34,calcnum.txt-10,06,nor.txt,75,
10,34,calcnum.txt-10,42,main.txt,65,
10,34,calcnum.txt-10,51,main.txt,57,
10,34,calcnum.txt-10,74,main.txt,55,
10,34,calcnum.txt-10,61,main.txt,62,
10,73,main.txt-10,45,main.txt,48,
10,73,main.txt-10,09,main.txt,70,
10,73,main.txt-10,72,main.txt,43,
10,73,main.txt-10,60,culculate.txt,47,
10,73,main.txt-10,11,score_breakup.txt,67,
10,73,main.txt-10,60,output.txt,72,
10,73,main.txt-10,76,main.txt,48,
10,73,main.txt-10,79,main.txt,37,
10,73,main.txt-10,85,main.txt,74,
10,73,main.txt-10,06,main.txt,47,
10,73,main.txt-10,32,main.txt,47,
10,73,main.txt-10,45,_get_result.txt,49,
10,73,main.txt-10,06,sup.txt,79,
10,73,main.txt-10,97,main.txt,37,
10,73,main.txt-10,19,main.txt,25,
10,73,main.txt-10,89,main.txt,41,
10,73,main.txt-10,36,main.txt,42,
10,73,main.txt-10,80,main.txt,27,
10,73,main.txt-10,84,main.txt,53,
10,73,main.txt-10,18,main.txt,56,
10,73,main.txt-10,93,main.txt,62,
10,73,main.txt-10,20,main.txt,63,
10,73,main.txt-10,28,main.txt,58,
10,73,main.txt-10,57,main.txt,51,
10,73,main.txt-10,61,initarreglos.txt,68,
10,73,main.txt-10,06,nor.txt,75,
10,73,main.txt-10,42,main.txt,55,
10,73,main.txt-10,51,main.txt,42,
10,73,main.txt-10,74,main.txt,25,
10,73,main.txt-10,61,main.txt,57,
10,73,main.txt-10,34,calcnum.txt,53,
10,63,main.txt-10,45,main.txt,55,
10,63,main.txt-10,09,main.txt,65,
10,63,main.txt-10,72,main.txt,41,
10,63,main.txt-10,60,culculate.txt,57,
10,63,main.txt-10,11,score_breakup.txt,74,
