Study-object,Files,Method,Files,Method,LevenDistance
1,23,main.txt-1,34,main.txt,37
1,23,main.txt-1,65,main.txt,22
1,23,main.txt-1,66,main.txt,59
1,23,main.txt-1,38,g.txt,71
1,23,main.txt-1,80,main.txt,47
1,23,main.txt-1,75,powr.txt,67
1,23,main.txt-1,11,main.txt,26
1,23,main.txt-1,94,main.txt,78
1,23,main.txt-1,80,gcd.txt,73
1,23,main.txt-1,12,gcd.txt,79
1,23,main.txt-1,67,main.txt,51
1,23,main.txt-1,57,main.txt,36
1,23,main.txt-1,50,main.txt,49
1,23,main.txt-1,46,ispot2.txt,68
1,23,main.txt-1,12,main.txt,33
1,23,main.txt-1,41,betterpower.txt,69
1,23,main.txt-1,24,euclid.txt,73
1,23,main.txt-1,33,gen.txt,59
1,23,main.txt-1,64,t.txt,63
1,23,main.txt-1,45,ispow2.txt,65
1,23,main.txt-1,41,main.txt,55
1,23,main.txt-1,27,desc.txt,77
1,23,main.txt-1,40,main.txt,65
1,23,main.txt-1,94,read.txt,54
1,59,gcd.txt-1,9,shortest.txt,30
1,59,gcd.txt-1,47,check.txt,47
1,59,gcd.txt-1,30,main.txt,80
1,59,gcd.txt-1,98,main.txt,81
1,59,gcd.txt-1,17,gcd.txt,30
1,59,gcd.txt-1,34,main.txt,78
1,59,gcd.txt-1,65,main.txt,73
1,59,gcd.txt-1,66,main.txt,78
1,59,gcd.txt-1,38,g.txt,36
1,59,gcd.txt-1,80,main.txt,81
1,59,gcd.txt-1,75,powr.txt,51
1,59,gcd.txt-1,11,main.txt,75
1,59,gcd.txt-1,94,main.txt,64
1,59,gcd.txt-1,80,gcd.txt,40
1,59,gcd.txt-1,12,gcd.txt,33
1,59,gcd.txt-1,67,main.txt,82
1,59,gcd.txt-1,57,main.txt,74
1,59,gcd.txt-1,50,main.txt,80
1,59,gcd.txt-1,46,ispot2.txt,54
1,59,gcd.txt-1,12,main.txt,76
1,59,gcd.txt-1,41,betterpower.txt,48
1,59,gcd.txt-1,24,euclid.txt,47
1,59,gcd.txt-1,33,gen.txt,56
1,59,gcd.txt-1,64,t.txt,54
1,59,gcd.txt-1,45,ispow2.txt,50
1,59,gcd.txt-1,41,main.txt,82
1,59,gcd.txt-1,27,desc.txt,54
